Name of Earth Meteorite,ID of Earth Meteorite,Name Type,Recclass,Mass (g),Year,Latitude,Longitude,Coordinates
Duwun,7754,Valid,L6,,1943-01-01T00:00:00.000,33.433330,127.266670,"[127.26667, 33.43333]"
Dwaleni,7755,Valid,H4-6,,1970-01-01T00:00:00.000,-27.200000,31.316670,"[31.31667, -27.2]"
Dyalpur,7757,Valid,Ureilite,,1872-01-01T00:00:00.000,26.250000,82.000000,"[82, 26.25]"
Dyarrl Island,7758,Valid,Mesosiderite-A1,,1933-01-01T00:00:00.000,-3.000000,151.000000,"[151, -3]"
Eagle,7760,Valid,EL6,,1947-01-01T00:00:00.000,40.781670,-96.471670,"[-96.47167, 40.78167]"
Ehole,7774,Valid,H5,,1961-01-01T00:00:00.000,-17.300000,15.833330,"[15.83333, -17.3]"
Eichstädt,7775,Valid,H5,,1785-01-01T00:00:00.000,48.900000,11.216670,"[11.21667, 48.9]"
Ekeby,7776,Valid,H4,,1939-01-01T00:00:00.000,56.033330,13.000000,"[13, 56.03333]"
Ekh Khera,7777,Valid,H6,,1916-01-01T00:00:00.000,28.266670,78.783330,"[78.78333, 28.26667]"
El Idrissia,7807,Valid,L6,,1989-01-01T00:00:00.000,34.416670,3.250000,"[3.25, 34.41667]"
El Paso de Aguila,45977,Valid,H5,,1977-01-01T00:00:00.000,25.370000,-97.370000,"[-97.37, 25.37]"
El Tigre,7819,Valid,L6,,1993-01-01T00:00:00.000,19.967220,-103.051670,"[-103.05167, 19.96722]"
Elbert,7822,Valid,LL6,,1998-01-01T00:00:00.000,39.246670,-104.588170,"[-104.58817, 39.24667]"
Elbogen,7823,Valid,"Iron, IID",,1400-01-01T00:00:00.000,50.183330,12.733330,"[12.73333, 50.18333]"
Elenovka,7824,Valid,L5,,1951-01-01T00:00:00.000,47.833330,37.666670,"[37.66667, 47.83333]"
Ellemeet,10019,Valid,Diogenite,,1925-01-01T00:00:00.000,51.750000,4.000000,"[4, 51.75]"
Emmaville,10033,Valid,Eucrite-mmict,,1900-01-01T00:00:00.000,-29.466670,151.616670,"[151.61667, -29.46667]"
Enshi,10038,Valid,H5,,1974-01-01T00:00:00.000,30.300000,109.500000,"[109.5, 30.3]"
Ensisheim,10039,Valid,LL6,,1492-01-01T00:00:00.000,47.866670,7.350000,"[7.35, 47.86667]"
Épinal,10041,Valid,H5,,1822-01-01T00:00:00.000,48.183330,6.466670,"[6.46667, 48.18333]"
Erakot,10042,Valid,CM2,,1940-01-01T00:00:00.000,19.033330,81.891670,"[81.89167, 19.03333]"
Erevan,10043,Valid,Howardite,,1911-01-01T00:00:00.000,40.300000,44.500000,"[44.5, 40.3]"
Ergheo,10044,Valid,L5,,1889-01-01T00:00:00.000,1.166670,44.166670,"[44.16667, 1.16667]"
Erxleben,10049,Valid,H6,,1812-01-01T00:00:00.000,52.216670,11.250000,"[11.25, 52.21667]"
Esnandes,10051,Valid,L6,,1837-01-01T00:00:00.000,46.250000,-1.100000,"[-1.1, 46.25]"
Essebi,10055,Valid,C2-ung,,1957-01-01T00:00:00.000,2.883330,30.833330,"[30.83333, 2.88333]"
Estherville,10059,Valid,Mesosiderite-A3/4,,1879-01-01T00:00:00.000,43.416670,-94.833330,"[-94.83333, 43.41667]"
Farmington,10074,Valid,L5,,1890-01-01T00:00:00.000,39.750000,-97.033330,"[-97.03333, 39.75]"
